1,c100,Davood Rafiei,1,04
2,c1000,Anh Dinh,1,02
3,c1000,Anh Dinh,1,06
4,c1000,Anh Dinh,1,07
5,c1000,Anh Dinh,1,09
6,c1050,Juan Fernandez Lezama,1,01
7,c1050,Juan Fernandez Lezama,1,05
8,c1050,Juan Fernandez Lezama,1,09
9,c1100,Joshua Ji,1,03
10,c1100,Joshua Ji,1,07
11,c1100,Joshua Ji,1,11
12,c1200,Vanessa Huang,1,03
13,c1250,Jason Hoang,1,07
14,c1300,Muhammad Hossain,1,07
15,c1300,Muhammad Hossain,1,10
16,c1350,Jake Hennig,2,03
17,c1350,Jake Hennig,1,05
18,c1400,Richard He,1,04
19,c1450,Mohammad Hammad,1,01
20,c150,John Smith,1,01
21,c150,John Smith,1,06
22,c1500,Harsh Gosalia,1,03
23,c1500,Harsh Gosalia,1,09
24,c1500,Harsh Gosalia,1,11
25,c1550,Eric Kim,1,07
26,c1550,Eric Kim,1,10
27,c1550,Eric Kim,1,12
28,c1650,Danielle Kropinak,1,05
29,c1700,Varun Kumaravel,1,09
30,c1750,Seoyoung Lee,1,10
31,c1800,John Doe,1,05
32,c1850,Jane Doe,1,04
33,c1850,Jane Doe,1,12
34,c1900,Troung Pham,1,11
35,c1950,Steven Tang,1,09
36,c1950,Steven Tang,1,11
37,c200,Stan Fedyk,1,09
38,c2000,Mark Maligalig,1,02
39,c2050,Manpreet Singh,1,04
40,c2050,Manpreet Singh,1,06
41,c2050,Manpreet Singh,1,07
42,c2050,Manpreet Singh,1,12
43,c2100,Farha Machiwala,1,09
44,c2100,Farha Machiwala,1,11
45,c2100,Farha Machiwala,1,12
46,c2150,Casper Nguyen,1,09
47,c2150,Casper Nguyen,1,10
48,c2200,Grace Mullane,1,11
49,c250,Kezziah Ayuno,1,04
50,c250,Kezziah Ayuno,1,05
51,c250,Kezziah Ayuno,1,11
52,c300,Ayan Babwany,1,04
53,c300,Ayan Babwany,1,05
54,c400,Mohammad Ahmadi,1,03
55,c400,Mohammad Ahmadi,1,07
56,c450,Liam Chen,1,03
57,c500,Dylan Clarke,1,01
58,c500,Dylan Clarke,1,08
59,c550,Weiguo Jiang,1,05
60,c600,Clare Chen,1,06
61,c650,Ben Chang,1,10
62,c700,Madison Bradley,1,02
63,c700,Madison Bradley,1,11
64,c750,Dove Goel,1,01
65,c750,Dove Goel,1,10
66,c800,Jack Geiger,1,01
67,c800,Jack Geiger,1,05
68,c800,Jack Geiger,1,11
69,c800,Jack Geiger,1,12
70,c850,Kelly Deng,1,07
71,c900,Marcus Der,1,06
72,c950,Charvi Dhamija,1,06
73,c950,Charvi Dhamija,1,08
